Date,Open,High,Low,Close,Volume
2007-08-02,  27.07,27.0839,26.4172,26.82, 3915200
2007-08-01,26.4236,26.9375,26.2639, 26.5, 7229100
2007-07-31,26.5594,26.8302,26.3164,26.49, 4769800
2007-07-30,26.0195,26.4778,25.8736,26.45, 3879700
2007-07-27,26.5636,26.7998,  26.14,26.14, 4499700
2007-07-26,27.3566,27.3566,26.3081,26.69, 5172200
2007-07-25,27.6414,27.6414,26.9122,27.19, 3018100
2007-07-24,27.7724, 28.064,27.1128,27.21, 2915900
2007-07-23,27.7781,27.9656,27.3475,27.66, 3477700
2007-07-20,27.6973,27.6973,27.3431,27.35, 3164900
2007-07-19,27.6275, 27.808,27.5025,27.69, 2842800
2007-07-18,27.3503,27.5933,27.1975,27.51, 2861800
2007-07-17,27.4594,27.7094,27.4039,27.64, 3799900
2007-07-16,27.5836,27.7711,27.5697,27.66, 1977500
2007-07-13,27.9097,27.9375,27.7083,27.75, 3641400
2007-07-12,27.7028,  28.05,27.5987,28.05, 3922900
2007-07-11,27.4292,27.7069,27.4292, 27.7, 2538500
2007-07-10,27.6881,27.7297,27.4311,27.57, 3061900
2007-07-09,27.4956,27.7594,27.4956,27.69, 2467900
2007-07-06,27.4209,27.7055,27.3098,27.65, 2935500
2007-07-05,27.6953,27.6953,27.1744,27.48, 3547700
2007-07-03,27.2167,27.6194,27.0848,27.55, 2221800
2007-07-02,26.8728,27.2756,26.6992,27.22, 2540300
2007-06-29,26.8497,27.0649,26.4817,26.69, 2614300
2007-06-28,26.7339,  26.97,26.4214,26.72, 2670000
2007-06-27,26.5147,26.7786, 26.348,26.73, 2300500
2007-06-26,26.7919,26.8613,26.3892,26.66, 2308100
2007-06-25, 26.845,27.0811,26.4631,26.72, 3455600
2007-06-22,27.0275,27.1108,26.4094,26.84, 3550200
2007-06-21,26.9022,27.2008,26.6245,27.18, 2449400
2007-06-20,27.2958,27.3583,26.8167, 26.9, 2708200
2007-06-19,26.9528,27.3903,26.9458, 27.3, 2306400
2007-06-18,26.9406,27.2391, 26.892,27.01, 2892500
2007-06-15,27.0706,27.0845,26.6678,26.89, 3917200
2007-06-14,26.6467,27.0703,26.6397,26.98, 2210000
2007-06-13,26.2587,  26.71,26.1893,26.71, 2802300
2007-06-12,25.9992,  26.27,25.7631,26.02, 3016900
2007-06-11,25.9608,26.3358,25.8011,26.19, 2103600
2007-06-08,25.9003,26.0739,25.6503,26.06, 3713600
2007-06-07,26.4671,26.6407,  25.87,25.87, 3567400
2007-06-06,26.5081,26.7303,26.4873,26.64, 2975200
2007-06-05,26.5295,26.7725,26.5156,26.71, 2744300
2007-06-04,26.3897,26.8272,26.3828,26.73, 2229900
2007-06-01,26.5036,26.6355,26.2814,26.58, 2656800
2007-05-31,26.5169,26.6211,26.4614,26.51, 3033000
2007-05-30,26.4581,26.6664,26.4025,26.59, 2766400
2007-05-29, 26.735,26.7836,26.4572,26.61, 2971700
2007-05-25,26.1818, 26.758, 26.036,26.64, 4180900
2007-05-24, 26.285,26.9723,26.0975,26.16, 4379100
2007-05-23,26.9567,27.0608,26.7275,26.79, 3648100
2007-05-22,26.6281,26.9058,26.5309,26.76, 5547800
2007-05-21,  26.11, 26.735,  26.11,26.61, 4919700
2007-05-18,26.0983,26.5428,26.0775,26.39, 3824400
2007-05-17,25.9633,  26.38,25.9633,26.13, 3485100
2007-05-16, 26.017,26.2878,25.9475,26.26, 3787500
2007-05-15,25.9176,26.7091,25.9176,26.23,11697300
2007-05-14, 25.322,25.5164,24.8011,24.94, 5061900
